sourcedId,status,dateLastModified,schoolYearSourcedId,title,courseCode,grades,orgSourcedId,subjects,subjectCodes,courseCredit,courseServiceID,courseServiceDescription,curriculumSubjectID,curriculumSubjectDescription,courseDepartmentID,courseDepartmentDescription,courseSubjectID,courseSubjectDescription
454580,,,2020.001,World Geog A,ZSS1AN,"09,10,11,12",79907001,,,0.5,3320100,World Geography Studies,SS,,LIT,,WG,
454581,,,2020.001,World Geog B,ZSS1BN,"09,10,11,12",79907001,,,0.5,3320100,World Geography Studies,SS,,LIT,,WG,
454582',,,2020.001,World Hist A,ZSS2AN,"09,10,11,12",79907001,,,0.5,3340400,World History Studies,SS,,LIT,,WH,
454583,,,2020.001,World Hist B,ZSS2BN,"09,10,11,12",79907001,,,0.5,3340400,World History Studies,SS,,LIT,,WH,
454584,,,2020.001,US History A,ZSS3AN,"10,11,12",79907001,,,0.5,3340100,United States History Studies Since 1877,SS,,LIT,,USH,
454585,,,2020.001,US History B,ZSS3BN,"10,11,12",79907001,,,0.5,3340100,United States History Studies Since 1877,SS,,LIT,,USH,
454586,,,2020.001,World Geog A,ZSS41A,"09,10,11,12",79907001,,,0.5,3320100,World Geography Studies,SS,,LIT,,WG,
454587,,,2020.001,World Geog B,ZSS41B,"09,10,11,12",79907001,,,0.5,3320100,World Geography Studies,SS,,LIT,,WG,
454588,,,2020.001,US Govt,ZSS422,"09,10,11,12",79907001,,,0.5,3330100,United States Government,SS,,LIT,,GOV,
454589,,,2020.001,World Hist A,ZSS42A,"09,10,11,12",79907001,,,0.5,3340400,World History Studies,SS,,LIT,,WH,
454590,,,2020.001,World Hist B,ZSS42B,"09,10,11,12",79907001,,,0.5,3340400,World History Studies,SS,,LIT,,WH,
454591,,,2020.001,US Hist,ZSS43,"09,10,11,12",79907001,,,1,3340100,United States History Studies Since 1877,SS,,LIT,,USH,
454592,,,2020.001,US Govt,ZSS44N,"09,10,11,12",79907001,,,0.5,3330100,United States Government,SS,,LIT,,GOV,
454593,,,2020.001,Econo,ZSS45N,"09,10,11,12",79907001,,,0.5,3310300,Economics with Emphasis on the Free Enterprise System and Its Benefits,SS,,LIT,,ECO,
454594,,,2020.001,Psych,ZSS46N,"09,10,11,12",79907001,,,0.5,3350100,Psychology,SS,,LIT,,PSY,
454595,,,2020.001,Soc,ZSS47N,"09,10,11,12",79907001,,,0.5,3370100,Sociology,SS,,LIT,,SOC,
454596,,,2020.001,Econo,ZSS522,"09,10,11,12",79907001,,,0.5,3310300,Economics with Emphasis on the Free Enterprise System and Its Benefits,SS,,LIT,,ECO,
454598,,,2020.001,Personal Financial Literacy,ZSS5BN,"10,11,12",79907001,,,0.5',3380082,Personal Financial Literacy,SS,,LIT,,SS,
454599,,,2020.001,Psych,ZSS622,"09,10,11,12",79907001,,,0.5,3350100,Psychology,SS,,LIT,,PSY,
454600,,,2020.001,Soc,ZSS722,"09,10,11,12",79907001,,,0.5,3370100,Sociology,SS,,LIT,,SOC,
455033,,,2020.002,English 2,ZEL2BN,"09,10,11,12",79907002,,,0.5,3220200,English II,ELA,,LIT,,EN2,
455034,,,2020.002,Pra Wrt A,ZEL31A,"09,10,11,12",79907002,,,0.5,3221300,Practical Writing Skills,ELA,,LIT,,ELA,
455035,,,2020.002,Prac Wrt B,ZEL31B,"09,10,11,12",79907002,,,0.5,3221300,Practical Writing Skills,ELA,,LIT,,ELA,
455036,,,2020.002,English 3 A,ZEL3AN,"10,11,12",79907002,,,0.5,3220300,English III,ELA,,LIT,,EN3,
455037',,,2020.002,English 3 B,ZEL3BN,"10,11,12",79907002,,,0.5,3220300,English III,ELA,,LIT,,EN3,
455038,,,2020.002,English 4 A,ZEL4AN,"11,12",79907002,,,0.5,3220400,English IV,ELA,,LIT,,EN4,
455039,,,2020.002,English 4 B,ZEL4BN,"11,12",79907002,,,0.5,3220400,English IV,ELA,,LIT,,EN4,
455040,,,2020.002,Reading II,ZER12,"09,10,11,12",79907002,,,1,3270800,Reading II,ELC,,LIT,,RE,
455041,,,2020.002,Reading I,ZER133,"09,10,11,12",79907002,,,0.5,3270700,Reading I,ELC,,LIT,,RE,
455042,,,2020.002,Reading III A,ZER33A,"09,10,11,12",79907002,,,0.5,3270900,Reading III,ELC,,LIT,,RE,
455043,,,2020.002,Reading III B,ZER33B,"09,10,11,12",79907002,,,0.5',3270900,Reading III,ELC,,LIT,,RE,
455044,,,2020.002,Art I A,ZFA1AN,"09,10,11,12",79907002,,,0.5,3500100,Art I,FA,,FA,,ART,
455045,,,2020.002,Art I B,ZFA1BN,"09,10,11,12",79907002,,,0.5,3500100,Art I,FA,,FA,,ART,
455046,,,2020.002,Spanish I A,ZFL12A,"08,09,10,11,12",79907002,,,0.5,3440100,Languages Other Than English Level I - Spanish,FL,,MUL,,SPA,
455047,,,2020.002,Spanish I B,ZFL12B,"08,09,10,11,12",79907002,,,0.5,3440100,Languages Other Than English Level I - Spanish,FL,,MUL,,SPA,
455048,,,2020.002,Spanish I A,ZFL1AN,"08,09,10,11,12",79907002,,,0.5,3440100,Languages Other Than English Level I - Spanish,FL,,MUL,,SPA,
455049,,,2020.002,Spanish I B,ZFL1BN,"08,09,10,11,12",79907002,,,0.5,3440100,Languages Other Than English Level I - Spanish,FL,,MUL,,SPA,
455050,,,2020.002,Spanish II A,ZFL22A,"09,10,11,12",79907002,,,0.5,3440200,Languages Other Than English Level II - Spanish,FL,,MUL,,SPA,
455051,,,2020.002,Spanish II B,ZFL22B,"09,10,11,12",79907002,,,0.5,3440200,Languages Other Than English Level II - Spanish,FL,,MUL,,SPA,
455052,,,2020.002,Spanish II A,ZFL2AN,"09,10,11,12",79907002,,,0.5,3440200,Languages Other Than English Level II - Spanish,FL,,MUL,,SPA,
455053,,,2020.002,Spanish II B,ZFL2BN,"09,10,11,12",79907002,,,0.5,3440200,Languages Other Than English Level II - Spanish,FL,,MUL,,SPA,
455054,,,2020.002,Algebra I,ZMA121,"08,09,10,11,12",79907002,,,0.5,3100500,Algebra I,MA,,STE,,AG1,
455055,,,2020.002,Algebra 1 A,ZMA1AN,"09,10,11,12",79907002,,,0.5,3100500,Algebra I,MA,,STE,,AG1,
455056,,,2020.002,Algebra 1 B,ZMA1BN,"09,10,11,12",79907002,,,0.5,3100500,Algebra I,MA,,STE,,AG1,
455057,,,2020.002,Geometry A,ZMA22A,"08,09,10,11,12",79907002,,,0.5,3100700,Geometry,MA,,STE,,GEO,
455058,,,2020.002,Geometry B,ZMA22B,"08,09,10,11,12",79907002,,,0.5,3100700,Geometry,MA,,STE,,GEO,